tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated,tblCodeGUID,tblCodeTypeGUID
252595,CMP,Computer,1585,RecorderType,2022-08-26,2022-08-26,False,5dab0916-a67f-4506-a13c-daa18e941766,ab1cff84-0c8b-480c-823f-b79e777c113f
202168,JASCO,JASCO Amar,1585,RecorderType,2020-02-14,2020-02-14,False,75308c4b-36d9-44ce-809e-f2bc111cfbc2,ab1cff84-0c8b-480c-823f-b79e777c113f
202154,LHD,Loggerhead DSG,1585,RecorderType,2020-02-14,2020-02-14,False,b133fc64-511d-45cd-ac10-b2b7325e8b09,ab1cff84-0c8b-480c-823f-b79e777c113f
202155,LHDS,Loggerhead DSG-ST,1585,RecorderType,2020-02-14,2020-02-14,False,ee96e43a-ddd8-41d5-ad8c-c36730a015bc,ab1cff84-0c8b-480c-823f-b79e777c113f
202153,LHL,Loggerhead LS1/LS2,1585,RecorderType,2020-02-14,2020-02-14,False,cb3a2f08-e1ac-4d62-b40a-7d8e4077297f,ab1cff84-0c8b-480c-823f-b79e777c113f
202156,LHM,Loggerhead Medusa Acoustic Drifter,1585,RecorderType,2020-02-14,2020-02-14,False,ecd4b81d-45c3-47b4-a278-73e7267e370a,ab1cff84-0c8b-480c-823f-b79e777c113f
202152,LHS,Loggerhead SNAP,1585,RecorderType,2020-02-14,2020-02-14,False,30329f8e-5df0-4433-945f-f61f7ea8d3df,ab1cff84-0c8b-480c-823f-b79e777c113f
254112,MEA,Multi Electronique - Aural-M2,1585,RecorderType,2023-02-01,2023-02-01,False,85b2186d-d92d-447c-9b94-62975d074db4,ab1cff84-0c8b-480c-823f-b79e777c113f
254113,MEMA,Multi Electronique - µAURAL,1585,RecorderType,2023-02-01,2023-02-01,False,c4ca8ed0-d199-403f-b361-b8b64f1a26e3,ab1cff84-0c8b-480c-823f-b79e777c113f
202160,OIS3H,OceanInstruments SOUNDTRAP 300 HF,1585,RecorderType,2020-02-14,2020-02-14,False,dc21cc8d-885f-4553-b9f5-494bbd533a12,ab1cff84-0c8b-480c-823f-b79e777c113f
202159,OIS3S,OceanInstruments SOUNDTRAP 300 STD,1585,RecorderType,2020-02-14,2020-02-14,False,b4113022-2603-442e-865a-aeff3e3bdc88,ab1cff84-0c8b-480c-823f-b79e777c113f
202158,OIS5H,OceanInstruments SOUNDTRAP 500 HF,1585,RecorderType,2020-02-14,2020-02-14,False,842875ee-6268-48b2-a9ad-2e3e2e0cc3d6,ab1cff84-0c8b-480c-823f-b79e777c113f
202157,OIS5S,OceanInstruments SOUNDTRAP 500 STD,1585,RecorderType,2020-02-14,2020-02-14,False,75d8f5fd-26f6-4796-9a9a-5f185cbeb08e,ab1cff84-0c8b-480c-823f-b79e777c113f
254246,OIS6H,OceanInstruments SOUNDTRAP 600 HF,1585,RecorderType,2023-02-28,2023-03-01,False,511e7a1b-182a-4235-bdcc-7dc14c2e0c4e,ab1cff84-0c8b-480c-823f-b79e777c113f
254245,OIS6S,OceanInstruments SOUNDTRAP 600 STD,1585,RecorderType,2023-02-28,2023-03-01,False,3efac63b-59c8-4058-8694-e132ea3588eb,ab1cff84-0c8b-480c-823f-b79e777c113f
202161,OSL2,OceanSonics icListen 200kHz,1585,RecorderType,2020-02-14,2020-02-14,False,869cc3fd-5f90-4f64-85af-6479c49cf47c,ab1cff84-0c8b-480c-823f-b79e777c113f
202167,RTEAS,RTSys EASDA14 320,1585,RecorderType,2020-02-14,2020-02-14,False,c5282a4a-a9bc-4029-ac40-215a5aa968c6,ab1cff84-0c8b-480c-823f-b79e777c113f
235414,RTSLP,RTSys Sylence-LP recorder,1585,RecorderType,2021-06-29,2021-06-29,False,721c71d4-5a3f-4b07-8cd7-83a935648328,ab1cff84-0c8b-480c-823f-b79e777c113f
202162,WSM2M,Wildlife SM2M,1585,RecorderType,2020-02-14,2020-02-14,False,0daa9709-daed-4549-8a5a-4e6212cbafef,ab1cff84-0c8b-480c-823f-b79e777c113f
202163,WSM2P,Wildlife SM2M+,1585,RecorderType,2020-02-14,2020-02-14,False,4dcd477a-d9e6-4a4f-95d7-c13810923866,ab1cff84-0c8b-480c-823f-b79e777c113f
202164,WSM3M,Wildlife SM3M,1585,RecorderType,2020-02-14,2020-02-14,False,35c168c5-6e54-4d06-8364-c4ab913b7338,ab1cff84-0c8b-480c-823f-b79e777c113f
202165,WSM3P,Wildlife SM3M+,1585,RecorderType,2020-02-14,2020-02-14,False,a05f2191-6bcc-4873-b40c-519daecfba7c,ab1cff84-0c8b-480c-823f-b79e777c113f
202166,WSM4M,Wildlife SM4M,1585,RecorderType,2020-02-14,2020-02-14,False,9a62605b-d346-47e9-857f-af6d9d4997f3,ab1cff84-0c8b-480c-823f-b79e777c113f
