tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
164810,1,BCP,1399,Station,2016-08-14,2016-08-14,False
164819,10,TF7b_1,1399,Station,2016-08-14,2016-08-14,False
160557,100,DMU 455,1399,Station,2016-08-14,2017-11-28,False
167256,1000,Suomenl Pyöts Kyvy-13,1399,Station,2016-08-14,2018-03-21,False
166240,10000,MinchMalin_LochDon_se,1399,Station,2016-08-14,2018-08-07,False
166241,10001,MinchMalin_LochDon_sh,1399,Station,2016-08-14,2018-08-07,False
166242,10002,MinchMalin_LochDon_wa,1399,Station,2016-08-14,2018-08-07,False
166243,10003,MinchMalin_LochDughaill_fi,1399,Station,2016-08-14,2018-08-07,False
166244,10004,MinchMalin_LochDughaill_se,1399,Station,2016-08-14,2018-08-07,False
166245,10005,MinchMalin_LochDughaill_sh,1399,Station,2016-08-14,2018-08-07,False
166246,10006,MinchMalin_LochDughaill_wa,1399,Station,2016-08-14,2018-08-07,False
166247,10007,MinchMalin_LochDuich_fi,1399,Station,2016-08-14,2018-08-07,False
166248,10008,MinchMalin_LochDuich_se,1399,Station,2016-08-14,2018-08-07,False
166249,10009,MinchMalin_LochDuich_sh,1399,Station,2016-08-14,2018-08-07,False
167257,1001,Suomenl Ahvenkosk Kyvy-9,1399,Station,2016-08-14,2018-03-21,False
166250,10010,MinchMalin_LochDuich_wa,1399,Station,2016-08-14,2018-08-07,False
166251,10011,MinchMalin_LochDunvegan_fi,1399,Station,2016-08-14,2018-08-07,False
166252,10012,MinchMalin_LochDunvegan_se,1399,Station,2016-08-14,2018-08-07,False
166253,10013,MinchMalin_LochDunvegan_sh,1399,Station,2016-08-14,2018-08-07,False
166254,10014,MinchMalin_LochDunvegan_wa,1399,Station,2016-08-14,2018-08-07,False
166255,10015,MinchMalin_LochEil_fi,1399,Station,2016-08-14,2018-08-07,False
166256,10016,MinchMalin_LochEil_se,1399,Station,2016-08-14,2018-08-07,False
166257,10017,MinchMalin_LochEil_sh,1399,Station,2016-08-14,2018-08-07,False
166258,10018,MinchMalin_LochEil_wa,1399,Station,2016-08-14,2018-08-07,False
166259,10019,MinchMalin_LochEishort_fi,1399,Station,2016-08-14,2018-08-07,False
167258,1002,Suomenl Pitkäv Kyvy-10,1399,Station,2016-08-14,2017-08-29,False
166260,10020,MinchMalin_LochEishort_se,1399,Station,2016-08-14,2018-08-07,False
166261,10021,MinchMalin_LochEishort_sh,1399,Station,2016-08-14,2018-08-07,False
166262,10022,MinchMalin_LochEishort_wa,1399,Station,2016-08-14,2018-08-07,False
166263,10023,MinchMalin_LochEport_fi,1399,Station,2016-08-14,2018-08-07,False
166264,10024,MinchMalin_LochEport_se,1399,Station,2016-08-14,2018-08-07,False
166265,10025,MinchMalin_LochEport_sh,1399,Station,2016-08-14,2018-08-07,False
166266,10026,MinchMalin_LochEport_wa,1399,Station,2016-08-14,2018-08-07,False
